"No";"Jenis Aktiva";"Q";"Tanggal Beli";"Maks";"Pemakaian (bulan)";"Pemakaian (tahun)";"Sisa Pemakaian (tahun)";"Harga Perolehan";"Akumulasi Penyusutan Awal Bulan";"Nilai Sisa Awal Bulan";"Penyusutan";"Akumulasi Penyusutan Akhir Bulan";"Nilai Sisa Akhir Bulan"
"134";"INFOCUS @4,250,000 + 6 BRACKET @170,000";"6";"2016-07-30";"1";"12";"1";"0";"26007976";"26007976";"0";"0";"26007976";"0"
"135";"MAINAN PER KUDA LAUT";"1";"2016-07-30";"1";"12";"1";"0";"2500000";"2500000";"0";"0";"2500000";"0"
"136";"MAINAN INDOOR MOTOR MINI & MINIATUR BUNGA @2,500,000";"1";"2016-09-30";"1";"12";"1";"0";"5000000";"5000000";"0";"0";"5000000";"0"
"137";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
"138";"MAINAN INDOOR TREADMILL";"1";"2016-09-30";"1";"12";"1";"0";"1000000";"1000000";"0";"0";"1000000";"0"
"139";"CENTRAL PABX PANASONIC TES-824 KAP 6 LINE-16 EXTENSION";"1";"2016-10-30";"1";"12";"1";"0";"5385000";"5385000";"0";"0";"5385000";"0"
"140";"PLAYGROUND ";"1";"2016-11-30";"5";"26";"2.17";"2.83";"47000000";"20366666.58";"26633333.42";"783333.33";"21149999.91";"25850000.09"
"141";"HANDYCAM+MEMORY+TRIPOD U/ TK & SD TKI";"2";"2017-01-30";"1";"12";"1";"0";"5350000";"5350000";"0";"0";"5350000";"0"
"142";"AMPLIFIER TOA 120 WATT";"1";"2017-02-28";"1";"12";"1";"0";"2130000";"2130000";"0";"0";"2130000";"0"
"143";"AC Daikin 50 MV";"1";"2017-07-30";"1";"12";"1";"0";"5550000";"5550000";"0";"0";"5550000";"0"
"144";"PRINTER EPSON L-310 SD TKI";"1";"2017-08-30";"1";"12";"1";"0";"1695000";"1695000";"0";"0";"1695000";"0"
"145";"PRINTER EPSON L-310 TK TKI";"1";"2017-08-30";"1";"12";"1";"0";"1695000";"1695000";"0";"0";"1695000";"0"
"146";"Bangku depan UKS";"1";"2017-12-30";"1";"12";"1";"0";"1505500";"1505500";"0";"0";"1505500";"0"
"";"";"";"";"";"";"";"TOTAL";"143660500";"115464666.69";"28195833.31";"887500.00";"116352166.69";"27308333.31"
"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Inventaris Mekar Wangi";"";"";"";"";"";"";"";"";"";"";"";"";""
"147";"MEJA & KURSI(BHN2+OKS) M.WANGI";"60";"2012-04-30";"5";"60";"5";"0";"19634000";"19634000";"0";"0";"19634000";"0"
"148";"PMBYRN I CCTV MEKAR (2 ROLL KABEL)";"0";"2012-07-30";"5";"60";"5";"0";"3000000";"3000000";"0";"0";"3000000";"0"
"149";"PMBYRN II CCTV MEKAR";"0";"2012-08-30";"5";"60";"5";"0";"745000";"745000";"0";"0";"745000";"0"
"150";"PMBYRN III PEMASANGAN CCTV MEKAR";"0";"2012-09-30";"5";"60";"5";"0";"14469800";"14469800";"0";"0";"14469800";"0"
"151";"PMBYRN IV CCTV MEKAR(BACKUP CCTV)";"1";"2012-10-30";"5";"60";"5";"0";"930000";"930000";"0";"0";"930000";"0"
"152";"PRINTER EPSON L-120 MW (TU ADM & PERPUST)";"2";"2015-11-30";"1";"12";"1";"0";"3000000";"3000000";"0";"0";"3000000";"0"
"153";"TV 40"" PANASONIC (LAB BIO,FISIKA,KIMIA) MW";"3";"2015-11-30";"3";"36";"3";"0";"12300000";"12300000";"0";"0";"12300000";"0"
"154";"AC (DIRPEL & KEU @3.8JT + KOORD.KROOHANIAN 3.5JT)";"3";"2015-12-30";"1";"12";"1";"0";"11100000";"11100000";"0";"0";"11100000";"0"
"155";"AC (R.ACCTG Rp.3,8JT) + PIPA+KABEL";"1";"2016-01-30";"1";"12";"1";"0";"4010000";"4010000";"0";"0";"4010000";"0"
"156";"AC (R.FOCO Rp.3,8JT) + PIPA+KABEL";"1";"2016-01-30";"1";"12";"1";"0";"4010000";"4010000";"0";"0";"4010000";"0"
"157";"LAPTOP ASUS SMA MW";"1";"2016-02-29";"1";"12";"1";"0";"3380000";"3380000";"0";"0";"3380000";"0"
"158";" JETPUMP GRUNDFOS JD BASIC 5500 WATT";"1";"2016-03-30";"1";"12";"1";"0";"4715000";"4715000";"0";"0";"4715000";"0"
"159";"2 BH KOMP KEU @5.484.000 & 1 CPU+KEYB 3.676.000";"3";"2016-07-30";"3";"30";"2.5";"0.5";"14644000";"12203333.40";"2440666.60";"406777.78";"12610111.18";"2033888.82"
"160";"AC DAIKIN 2 PK+PERLENGKPN";"6";"2016-07-30";"6";"30";"2.5";"3.5";"35400000";"14750000.10";"20649999.90";"491666.67";"15241666.77";"20158333.23"
"161";"BACTERI INCUBATOR (8.55JT)+RRC ELECTRIC (1.755JT)";"1";"2016-08-30";"1";"12";"1";"0";"10305000";"10305000";"0";"0";"10305000";"0"
"162";"TV40""PANASONIC (AULA MW-@3.95JT)),PRINTER SMP MW";"2";"2016-08-30";"2";"24";"2";"0";"9300000";"9300000";"0";"0";"9300000";"0"
"163";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
"164";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
